Date,Shape of You,Despacito,Someone Just Like You,Humble,Unforgettable
20170519,9687373,22169945.0,6103377.0,8762806.0,5292576.0
20170520,9587491,22271168.0,5882114.0,8239957.0,5032800.0
20170521,8099936,19291804.0,5144732.0,7214077.0,4512437.0
20170522,8306796,19990671.0,5526221.0,7757136.0,4997624.0
20170523,8482709,20206249.0,5583887.0,7963927.0,5109260.0
20170524,8689525,21098792.0,5753065.0,8060525.0,5310612.0
20170525,8745570,21620119.0,5779886.0,8039395.0,5385823.0
20170526,9285005,23218183.0,6101814.0,8318984.0,5579455.0
20170527,8968725,22744894.0,5699766.0,7708217.0,5189684.0
20170528,7797390,19682193.0,5021231.0,6799333.0,4722146.0
20170529,7968074,19119391.0,5251779.0,6956411.0,4963030.0
20170601,8270321,20697677.0,5495998.0,7364896.0,5738504.0
20170603,8383160,21339194.0,5264998.0,7138376.0,5700860.0
20170604,7292429,18317216.0,4665442.0,6308290.0,5056728.0
20170605,7564274,18579274.0,5213153.0,6612172.0,5536914.0
20170606,7733799,18831975.0,5317735.0,6844215.0,5794155.0
20170607,7991347,19089132.0,5401157.0,6972281.0,6040520.0
20170608,8038934,19146578.0,5359403.0,6893265.0,6103138.0
20170609,8347951,20414015.0,5555463.0,7130699.0,6435133.0
20170610,8294822,20814279.0,5298619.0,6876924.0,6317618.0
20170611,7209910,18061777.0,4655866.0,6170861.0,5633437.0
20170612,7471696,18016294.0,4983829.0,6516012.0,6132437.0
20170613,7649602,18247619.0,5096237.0,6618499.0,6296232.0
20170614,7791397,18796844.0,5230213.0,6699187.0,6529679.0
20170615,7788117,18859909.0,5240236.0,6658054.0,6539428.0
20170616,8108408,19658830.0,5431826.0,6783439.0,6671912.0
20170617,8124731,20358876.0,5254454.0,6512488.0,6661705.0
20170618,7062291,17669708.0,4607159.0,5697471.0,5919580.0
20170619,7222278,17678927.0,4899566.0,6109417.0,6479657.0
20170620,7322216,18072968.0,4945979.0,6226739.0,6650204.0
20170621,7320808,18266517.0,4991918.0,6114166.0,6649982.0
20170622,7414811,18516324.0,5028154.0,5836170.0,6676589.0
20170623,7790331,19704628.0,5221599.0,5787698.0,6760113.0
20170624,7435279,19027255.0,4808014.0,5356980.0,6406220.0
20170625,6464995,16317670.0,4245668.0,4784760.0,5672986.0
20170626,6899036,16833985.0,4719520.0,5159169.0,6457472.0
20170627,6956048,16828321.0,4756455.0,5233342.0,6561576.0
20170628,6948876,16755069.0,4733774.0,5219358.0,6600259.0
20170629,6979147,16738208.0,4737784.0,5264616.0,6668812.0
20170630,7418266,18016506.0,5002806.0,5414745.0,6964822.0
20170701,7286405,18100043.0,4774843.0,5089295.0,6686994.0
20170702,6291781,15459004.0,4141816.0,4470802.0,5843136.0
20170703,6658379,15717350.0,4513399.0,4725057.0,6316964.0
20170704,6945239,16216181.0,4842624.0,4695211.0,6438641.0
20170705,6889862,16234560.0,4787127.0,4665841.0,6618288.0
20170706,6864039,16341451.0,4714461.0,4733036.0,6734873.0
20170707,7165776,17408778.0,4938822.0,4890511.0,6971756.0
20170708,7083965,17434310.0,4676309.0,4604028.0,6775806.0
20170709,6192566,15209922.0,4113499.0,4138663.0,6030924.0
20170710,6545599,15436463.0,4457975.0,4396545.0,6502623.0
20170711,6591634,15492198.0,4481153.0,4435075.0,6655153.0
20170712,6604220,15471584.0,4527169.0,4393344.0,6735165.0
20170713,6670011,15702710.0,4555915.0,4417653.0,6889203.0
20170714,6873986,16471127.0,4727981.0,4588352.0,7428439.0
20170715,6675732,16549098.0,4480897.0,4426203.0,7286421.0
20170716,5780812,14158281.0,3878012.0,3949880.0,6540054.0
20170717,6270412,14458210.0,4215697.0,4218110.0,7202114.0
20170718,6332080,14445760.0,4235126.0,4252510.0,7442837.0
20170719,6321482,14533247.0,4198519.0,4216456.0,7383549.0
20170720,6345232,14574866.0,4196855.0,4221129.0,7317581.0
20170721,6584434,15290172.0,4324180.0,4340508.0,7483165.0
20170722,6419125,15081889.0,4128746.0,4087726.0,7272876.0
20170723,5593737,12900257.0,3592715.0,3673824.0,6372850.0
20170724,5971241,12947182.0,3898377.0,3920478.0,6976951.0
20170725,6084365,13083960.0,3966279.0,4057663.0,7142650.0
20170726,6036253,12992407.0,3942363.0,4044913.0,7193455.0
20170727,6136793,13000596.0,4011774.0,4071007.0,7238086.0
20170728,6392647,13759811.0,4177788.0,4204291.0,7430381.0
20170729,6219539,13667396.0,3980576.0,4049163.0,7177577.0
20170730,5438809,11842229.0,3485531.0,3603193.0,6310817.0
20170731,5807756,11996903.0,3831588.0,3832712.0,6861903.0
20170801,5837671,12037931.0,3873641.0,3910393.0,6980911.0
20170802,5816421,11974849.0,3835236.0,3893299.0,7002895.0
20170803,5813934,11925165.0,3809888.0,3903153.0,7056852.0
20170804,6007623,12565919.0,3952948.0,4034865.0,7272132.0
20170805,5853156,12595568.0,3762743.0,3845196.0,7013793.0
20170806,5161329,10971045.0,3303766.0,3429417.0,6148053.0
20170807,5463623,11038928.0,3601600.0,3620249.0,6558849.0
20170808,5503197,11026134.0,3617536.0,3737388.0,6646539.0
20170809,5577100,11072469.0,3679142.0,3810186.0,6775658.0
20170810,5609356,11077073.0,3704051.0,3861148.0,6834501.0
20170811,5821842,11682964.0,3826441.0,3952534.0,7010525.0
20170812,5690637,11541402.0,3608592.0,3756727.0,6727197.0
20170813,5048734,10162818.0,3227925.0,3386920.0,6007073.0
20170814,5356407,10227207.0,3458670.0,3596980.0,6522976.0
20170815,5324014,10117908.0,3441392.0,3626772.0,6599419.0
20170816,5340468,10112353.0,3428613.0,3667274.0,6702959.0
20170817,5354799,10078390.0,3388205.0,3673307.0,6728231.0
20170818,5612592,10632098.0,3514567.0,3788165.0,6917995.0
20170819,5521995,10745228.0,3330789.0,3631568.0,6714150.0
20170820,4877951,9347543.0,2930431.0,3250541.0,5971170.0
20170821,5053891,9190645.0,3137077.0,3362878.0,6324038.0
20170822,5190960,9345758.0,3220089.0,3525272.0,6557427.0
20170823,5213331,9291811.0,3247528.0,3538478.0,6594554.0
20170824,5192733,9112136.0,3200638.0,3593733.0,6629096.0
20170825,5372132,9604864.0,3297845.0,3728981.0,6919821.0
20170826,5398407,9830691.0,3177570.0,3707354.0,6735165.0
20170827,4639412,8211357.0,2708561.0,3241394.0,5697007.0
20170828,5052322,8245177.0,2965292.0,3805542.0,6155840.0
20170829,5069208,8326055.0,3047201.0,3840230.0,6312760.0
20170830,5073099,8289340.0,3098976.0,3811893.0,6261844.0
20170831,5004209,8220587.0,3081615.0,3763414.0,6270509.0
20170901,5211297,8851183.0,3220023.0,3899350.0,6555770.0
20170902,5184822,8855437.0,3063769.0,3649317.0,6234713.0
20170903,4565886,7634595.0,2706883.0,3242651.0,5455643.0
20170904,4707435,7493172.0,2888297.0,3398290.0,5809396.0
20170905,4695639,7304888.0,2881964.0,3429361.0,5888354.0
20170906,4760158,7274460.0,2899870.0,3455123.0,5964207.0
20170907,4826109,7319295.0,2872544.0,3503719.0,5976230.0
20170908,4910246,7615512.0,2926563.0,3628067.0,6153565.0
20170909,4811154,7678972.0,2788193.0,3444938.0,5887824.0
20170910,4198795,6611073.0,2457214.0,3035355.0,5163668.0
20170911,4361981,6438665.0,2634210.0,3219538.0,5567003.0
20170912,4449059,6485427.0,2693230.0,3339749.0,5768113.0
20170913,4486914,6372277.0,2730972.0,3362267.0,5813366.0
20170914,4625412,6392424.0,2789158.0,3427588.0,5842846.0
20170915,4857453,6897461.0,2897776.0,3588348.0,6085964.0
20170916,4811542,7115121.0,2775660.0,3437075.0,5875577.0
20170917,4217726,6217801.0,2411478.0,3022022.0,5050812.0
20170918,4438039,6079504.0,2589228.0,3223558.0,5394894.0
20170919,4449027,5845989.0,2605795.0,3318253.0,5498925.0
20170920,4450117,5696752.0,2620766.0,3333215.0,5573412.0
20170921,4511416,5804669.0,2662157.0,3377269.0,5632846.0
20170922,4803446,6287200.0,2795011.0,3550018.0,5836533.0
20170923,4811273,6457167.0,2697447.0,3361464.0,5588322.0
20170924,4173114,5543199.0,2386744.0,2973071.0,4928772.0
20170925,4300493,5294767.0,2532344.0,3142953.0,5246747.0
20170926,4382561,5328387.0,2584103.0,3245227.0,5323218.0
20170927,4432205,5405673.0,2626524.0,3310160.0,5369976.0
20170928,4407021,5451463.0,2651182.0,3371796.0,5380140.0
20170929,4612169,5887270.0,2805798.0,3408516.0,5622105.0
20170930,4528232,5934154.0,2644431.0,3179287.0,5469318.0
20171001,3909551,5047240.0,2310057.0,2787820.0,4669591.0
20171002,4127122,4914458.0,2488921.0,3009934.0,5031324.0
20171003,4237114,4800023.0,2546028.0,3127029.0,5154154.0
20171004,4271413,4817960.0,2572763.0,3144219.0,5069708.0
20171005,4245407,5017664.0,2567514.0,3173822.0,4804623.0
20171006,4514154,5298530.0,2715368.0,3375834.0,5013373.0
20171007,4495360,5611556.0,2608568.0,3167155.0,4772899.0
20171008,3910406,4812894.0,2278815.0,2745954.0,4149464.0
20171009,4087219,4476628.0,2450972.0,2910896.0,4322950.0
20171010,4101578,4399014.0,2480750.0,2970858.0,4359961.0
20171011,4132781,4426403.0,2392039.0,2972495.0,4331127.0
20171012,4192091,4476909.0,2316364.0,3020360.0,4377235.0
20171013,4438626,4864863.0,2425219.0,3182271.0,4716436.0
20171014,4405296,5175338.0,2329103.0,2988696.0,4499964.0
20171015,3875526,4532672.0,2064846.0,2643346.0,3947139.0
20171016,4014222,4220968.0,2208437.0,2816293.0,4124168.0
20171017,4048071,4203320.0,2253347.0,2917406.0,4193222.0
20171018,4098205,4126287.0,2278676.0,2914412.0,4199350.0
20171019,4123090,4176623.0,2288116.0,2946116.0,4224348.0
20171020,4375158,4551204.0,2359956.0,3068961.0,4474331.0
20171021,4313880,4680268.0,2246145.0,2885641.0,4321072.0
20171022,3759421,3957884.0,1966532.0,2527603.0,3737602.0
20171023,3966631,3837990.0,2102072.0,2705348.0,3973208.0
20171024,4042766,3906281.0,2131370.0,2801453.0,4053813.0
20171025,4092810,3979854.0,2177538.0,2808765.0,4097702.0
20171026,4116823,4010417.0,2185035.0,2850254.0,4099284.0
20171027,4313006,4328256.0,2241455.0,3011551.0,4322923.0
20171028,4197548,4612204.0,2122025.0,2793502.0,4046255.0
20171029,3668538,3796560.0,1877896.0,2490961.0,3545629.0
20171030,3884031,3642564.0,2028548.0,2617807.0,3795222.0
20171031,3926951,3888958.0,2034408.0,2703940.0,3827345.0
20171101,3819439,3662143.0,1997851.0,2586475.0,3630529.0
20171102,3938190,3700892.0,2052542.0,2675831.0,3747806.0
20171103,4144346,4010977.0,2129755.0,2805267.0,3961130.0
20171104,4044433,4020957.0,2054355.0,2594979.0,3713045.0
